"tissue","group1","group2","wilcox_p","ttest_p","wilcox_signif","ttest_signif"
"Brain","inparalog non-tandem","inparalog tandem","4.30794426379335e-02","1.49475512042583e-02","*","*"
"Brain","inparalog non-tandem","outparalog","1.07721336219382e-01","5.17353677474883e-01","ns","ns"
"Brain","inparalog tandem","outparalog","1.36275971548863e-01","2.26806825320133e-02","ns","*"
"Muscle","inparalog non-tandem","inparalog tandem","9.11334611107053e-01","6.77278756292945e-01","ns","ns"
"Muscle","inparalog non-tandem","outparalog","1.23033867721337e-01","1.15850672439836e-01","ns","ns"
"Muscle","inparalog tandem","outparalog","5.98018284523752e-01","7.92618041158686e-01","ns","ns"
"Testis","inparalog non-tandem","inparalog tandem","4.68229091514540e-05","4.00466884064932e-05","****","****"
"Testis","inparalog non-tandem","outparalog","1.35447226050205e-01","2.76790395640715e-01","ns","ns"
"Testis","inparalog tandem","outparalog","1.43870103179029e-04","1.09376725005085e-04","***","***"
