"gene_group","tissue_main","tissue_other","wilcox_p","ttest_p","wilcox_signif","ttest_signif"
"non-tandem paralogs","Brain","Adipose","1.01781423286871e-24","8.32069423354555e-13","****","****"
"non-tandem paralogs","Brain","Adrenal","5.88909492768147e-30","6.47162185002810e-15","****","****"
"non-tandem paralogs","Brain","Colon","3.63608921047076e-24","5.87607542897825e-14","****","****"
"non-tandem paralogs","Brain","Heart","3.52978978499985e-29","1.08522235620785e-21","****","****"
"non-tandem paralogs","Brain","Liver","2.96327643157738e-24","2.02231579540382e-13","****","****"
"non-tandem paralogs","Brain","Muscle","8.76434258997834e-39","1.31135638983112e-28","****","****"
"non-tandem paralogs","Brain","Pituitary","1.83654485409318e-01","6.99935311077170e-04","ns","***"
"non-tandem paralogs","Brain","Skin","3.59826633124766e-19","4.66707772626390e-09","****","****"
"non-tandem paralogs","Brain","Spleen","2.64531682439771e-10","3.38319897241879e-06","****","****"
"non-tandem paralogs","Brain","Thyroid","3.98962768373715e-25","3.65368152842111e-14","****","****"
"non-tandem paralogs","Brain","Lung","4.31344291731697e-06","1.79282047276820e-02","****","*"
"non-tandem paralogs","Brain","Testis","5.24035726196151e-35","2.13183866693095e-32","****","****"
"tandem paralogs","Testis","Adipose","1.41114577107644e-02","1.63450390635291e-01","*","ns"
"tandem paralogs","Testis","Adrenal","4.73874120793564e-03","4.05064021931102e-02","**","*"
"tandem paralogs","Testis","Brain","9.65777936209493e-01","4.84015469325723e-01","ns","ns"
"tandem paralogs","Testis","Colon","2.82332713093450e-02","1.85163488519222e-01","*","ns"
"tandem paralogs","Testis","Heart","4.82964284155611e-04","1.02005697372029e-02","***","*"
"tandem paralogs","Testis","Liver","1.50679262629824e-02","6.73240845815057e-02","*","ns"
"tandem paralogs","Testis","Muscle","2.10532241849445e-04","3.72298331658166e-03","***","**"
"tandem paralogs","Testis","Pituitary","6.11837288435993e-01","6.63869384142125e-01","ns","ns"
"tandem paralogs","Testis","Skin","3.68231111418066e-03","5.64779733187335e-02","**","ns"
"tandem paralogs","Testis","Spleen","5.74238599682915e-03","3.42103193676323e-02","**","*"
"tandem paralogs","Testis","Thyroid","3.04305452756264e-02","2.53210023216308e-01","*","ns"
"tandem paralogs","Testis","Lung","3.10217368625225e-03","4.04266160794812e-02","**","*"
"tandem paralogs","Muscle","Adipose","2.82332713093450e-02","1.29363060921279e-02","*","*"
"tandem paralogs","Muscle","Adrenal","2.51556665020674e-01","1.21662983975220e-01","ns","ns"
"tandem paralogs","Muscle","Brain","1.95845324883022e-07","8.57369414272910e-08","****","****"
"tandem paralogs","Muscle","Colon","8.42534739801161e-02","1.34838067409184e-02","ns","*"
"tandem paralogs","Muscle","Heart","5.02735085802284e-01","4.75816788306791e-01","ns","ns"
"tandem paralogs","Muscle","Liver","8.00849036987554e-02","1.05825310662376e-01","ns","ns"
"tandem paralogs","Muscle","Pituitary","3.14621046476878e-07","2.59815917770915e-08","****","****"
"tandem paralogs","Muscle","Skin","3.53606052808496e-01","1.57074572038960e-01","ns","ns"
"tandem paralogs","Muscle","Spleen","4.30375772447361e-01","2.25026819841212e-01","ns","ns"
"tandem paralogs","Muscle","Thyroid","3.22463402957543e-04","6.79336592916103e-05","***","****"
"tandem paralogs","Muscle","Lung","5.23705109676749e-01","1.18440265317217e-01","ns","ns"
"tandem paralogs","Muscle","Testis","2.10532241849445e-04","3.72298331658166e-03","***","**"
"tandem paralogs","Brain","Adipose","6.01686592645760e-04","2.58173119392309e-03","***","**"
"tandem paralogs","Brain","Adrenal","5.07331621236030e-05","5.04763388248879e-05","****","****"
"tandem paralogs","Brain","Colon","1.55322262154404e-03","4.17653104950260e-03","**","**"
"tandem paralogs","Brain","Heart","7.58265262861309e-07","8.68155997060329e-07","****","****"
"tandem paralogs","Brain","Liver","5.33392905130139e-04","3.72406122791046e-04","***","***"
"tandem paralogs","Brain","Muscle","1.95845324883022e-07","8.57369414272910e-08","****","****"
"tandem paralogs","Brain","Pituitary","4.80375103549907e-01","6.68224472036592e-01","ns","ns"
"tandem paralogs","Brain","Skin","2.53114494911439e-05","2.90457142519700e-04","****","***"
"tandem paralogs","Brain","Spleen","4.24638421657361e-05","5.90282761494511e-05","****","****"
"tandem paralogs","Brain","Thyroid","5.29086074524623e-03","2.78851867508931e-03","**","**"
"tandem paralogs","Brain","Lung","9.38129068533398e-06","4.83345248300365e-05","****","****"
"tandem paralogs","Brain","Testis","9.65777936209493e-01","4.84015469325723e-01","ns","ns"
