"gene_group","tissue_main","tissue_other","wilcox_p","ttest_p","wilcox_signif","ttest_signif"
"non-tandem paralogs","Muscle","Thyroid"," 3.93414137432565e-21"," 3.55479850071133e-22","****","****"
"non-tandem paralogs","Muscle","Lung"," 1.39727018654313e-58"," 4.34206986628659e-54","****","****"
"non-tandem paralogs","Muscle","Testis","2.99385956336776e-244","4.55238723020318e-265","****","****"
"non-tandem paralogs","Brain","Adipose"," 7.59461524288081e-69"," 3.65809689066967e-49","****","****"
"non-tandem paralogs","Brain","Adrenal","4.95078669548040e-105"," 2.01006448897534e-82","****","****"
"non-tandem paralogs","Brain","Colon"," 2.19772029275302e-94"," 7.27336429853009e-75","****","****"
"non-tandem paralogs","Brain","Heart","4.51308181663470e-100"," 9.45419092480980e-87","****","****"
"non-tandem paralogs","Brain","Liver"," 4.12322478397723e-41"," 1.52865524902895e-29","****","****"
"non-tandem paralogs","Brain","Muscle","5.13364202826231e-141","8.03192071570214e-129","****","****"
"non-tandem paralogs","Brain","Pituitary"," 3.94942341224704e-01"," 6.05609572682407e-01","ns","ns"
"non-tandem paralogs","Brain","Skin"," 1.38725552121509e-95"," 1.44405015519195e-74","****","****"
"non-tandem paralogs","Brain","Spleen"," 3.39251284272340e-53"," 1.22723425685779e-43","****","****"
"non-tandem paralogs","Brain","Thyroid"," 7.82041969788016e-90"," 5.70885823565794e-69","****","****"
"non-tandem paralogs","Brain","Lung"," 1.38011092546078e-38"," 8.41304251405416e-29","****","****"
"non-tandem paralogs","Brain","Testis"," 1.86126027424078e-97"," 1.30475912531276e-84","****","****"
"tandem paralogs","Testis","Adipose"," 9.75857061219789e-09"," 2.70501367908732e-08","****","****"
"tandem paralogs","Testis","Adrenal"," 2.25949616318357e-09"," 6.89836978716116e-09","****","****"
"tandem paralogs","Testis","Brain"," 3.51067610774198e-04"," 2.92590386142694e-03","***","**"
"tandem paralogs","Testis","Colon"," 7.58755336250011e-12"," 6.35116909618751e-12","****","****"
"tandem paralogs","Testis","Heart"," 7.04058142856387e-15"," 1.03466371497566e-15","****","****"
"tandem paralogs","Testis","Liver"," 6.45584833326119e-10"," 6.73941742692797e-10","****","****"
"tandem paralogs","Testis","Muscle"," 1.74472322419803e-13"," 4.55605956138733e-14","****","****"
