"group","tissue_main","tissue_other","wilcox_p","ttest_p","wilcox_signif","ttest_signif"
"inparalog non-tandem","Muscle","Lung"," 2.25025769455517e-10"," 1.34861489121963e-12","****","****"
"inparalog non-tandem","Muscle","Testis"," 2.06093369592925e-74"," 7.30725720796614e-69","****","****"
"inparalog non-tandem","Brain","Adipose"," 1.29047553971118e-19"," 3.72329684429761e-13","****","****"
"inparalog non-tandem","Brain","Adrenal"," 1.86960583289389e-32"," 4.11955324948831e-22","****","****"
"inparalog non-tandem","Brain","Colon"," 4.21651838640787e-16"," 5.89561143005238e-11","****","****"
"inparalog non-tandem","Brain","Heart"," 3.20841325523608e-17"," 1.78112235968238e-11","****","****"
"inparalog non-tandem","Brain","Liver"," 2.46871612784095e-16"," 2.72815586806649e-08","****","****"
"inparalog non-tandem","Brain","Muscle"," 2.29840852310266e-27"," 2.20893082559005e-21","****","****"
"inparalog non-tandem","Brain","Pituitary"," 3.02358379701506e-02"," 1.22530113274649e-03","*","**"
"inparalog non-tandem","Brain","Skin"," 2.64421484903536e-19"," 1.66040409554522e-11","****","****"
"inparalog non-tandem","Brain","Spleen"," 1.21416550662864e-14"," 7.70297606371886e-09","****","****"
"inparalog non-tandem","Brain","Thyroid"," 2.45267787126585e-19"," 1.26802052395048e-12","****","****"
"inparalog non-tandem","Brain","Lung"," 7.36538504225587e-08"," 1.47432407614705e-03","****","**"
"inparalog non-tandem","Brain","Testis"," 1.33327232810365e-38"," 1.48487091964535e-31","****","****"
"inparalog tandem","Testis","Adipose"," 1.87948527155868e-01"," 4.04699014109867e-01","ns","ns"
"inparalog tandem","Testis","Adrenal"," 6.49143291922683e-02"," 1.25605219210705e-01","ns","ns"
"inparalog tandem","Testis","Brain"," 5.06064882299179e-01"," 1.42420059891412e-01","ns","ns"
"inparalog tandem","Testis","Colon"," 7.42586593904064e-01"," 3.55821560730748e-01","ns","ns"
"inparalog tandem","Testis","Heart"," 2.87012860595019e-02"," 4.12126692243793e-02","*","*"
"inparalog tandem","Testis","Liver"," 1.79193804732991e-01"," 3.80034995186709e-01","ns","ns"
"inparalog tandem","Testis","Muscle"," 4.23948119789121e-02"," 6.97255290925475e-02","*","ns"
"inparalog tandem","Testis","Pituitary"," 2.98727598750390e-01"," 3.57412681684752e-02","ns","*"
"inparalog tandem","Testis","Skin"," 1.67997613536651e-01"," 3.00140460024681e-01","ns","ns"
"inparalog tandem","Testis","Spleen"," 6.78302119730631e-01"," 9.83407410436418e-01","ns","ns"
"inparalog tandem","Testis","Thyroid"," 2.44166795965391e-01"," 5.43675449085635e-01","ns","ns"
"inparalog tandem","Testis","Lung"," 9.79860195564950e-02"," 1.73400468631471e-01","ns","ns"
"inparalog tandem","Muscle","Adipose"," 3.97251961492318e-01"," 6.42924738542316e-02","ns","ns"
"inparalog tandem","Muscle","Adrenal"," 8.71595691574067e-01"," 6.78102077124465e-01","ns","ns"
"inparalog tandem","Muscle","Brain"," 2.21482247074510e-07"," 6.79086792225577e-08","****","****"
"inparalog tandem","Muscle","Colon"," 1.35251969939689e-03"," 2.65013006614476e-05","**","****"
"inparalog tandem","Muscle","Heart"," 4.28834749599048e-01"," 6.57076050309128e-01","ns","ns"
"inparalog tandem","Muscle","Liver"," 1.10895496218427e-01"," 1.26251244753535e-01","ns","ns"
"inparalog tandem","Muscle","Pituitary"," 4.69108780287600e-10"," 6.43319621320013e-11","****","****"
"inparalog tandem","Muscle","Skin"," 7.63883759155867e-01"," 2.62387937545622e-01","ns","ns"
"inparalog tandem","Muscle","Spleen"," 5.36079552023432e-02"," 1.06484762409673e-02","ns","*"
"inparalog tandem","Muscle","Thyroid"," 3.37854973912531e-02"," 8.87506540385198e-03","*","**"
"inparalog tandem","Muscle","Lung"," 9.62914203303476e-01"," 3.70336573794453e-01","ns","ns"
"inparalog tandem","Muscle","Testis"," 4.23948119789121e-02"," 6.97255290925475e-02","*","ns"
"inparalog tandem","Brain","Adipose"," 1.04875365536023e-05"," 1.85207901126974e-04","****","***"
"inparalog tandem","Brain","Adrenal"," 6.20388666965663e-07"," 3.35519517136299e-06","****","****"
"inparalog tandem","Brain","Colon"," 1.03811035824818e-01"," 4.63589652290122e-01","ns","ns"
"inparalog tandem","Brain","Heart"," 2.27712837101222e-09"," 4.17605657522258e-09","****","****"
"inparalog tandem","Brain","Liver"," 2.52974339474924e-04"," 3.58154589034147e-04","***","***"
"inparalog tandem","Brain","Muscle"," 2.21482247074510e-07"," 6.79086792225577e-08","****","****"
"inparalog tandem","Brain","Pituitary"," 6.36677588306618e-01"," 3.40341252786011e-01","ns","ns"
"inparalog tandem","Brain","Skin"," 1.55579195562085e-06"," 2.65880204769782e-04","****","***"
"inparalog tandem","Brain","Spleen"," 1.44497891233633e-02"," 4.44862545550822e-02","*","*"
"inparalog tandem","Brain","Thyroid"," 2.07737062200309e-04"," 2.84695583358271e-04","***","***"
"inparalog tandem","Brain","Lung"," 5.83602987942354e-07"," 3.30914021929294e-06","****","****"
"inparalog tandem","Brain","Testis"," 5.06064882299179e-01"," 1.42420059891412e-01","ns","ns"
