Orthogroup	Adipose	Adrenal	Brain	Colon	Heart	Liver	Muscle	Pituitary	Skin	Spleen	Thyroid	Lung	Testis	angle_diagonal	orth_component
OG0001505	0.187820841726056	0.324249090292111	0.43312399318089	0.0693454603580437	0.206549665321871	0.215988556752859	0.337832925617785	0.987666887212232	0.132913558623406	0.10957105233807	0.0634575831446956	0.165826214109587	0.509745123334931	39.91107089506607	"[-0.10018615  0.03624209  0.145117   -0.21866154 -0.08145733 -0.07201844
  0.04982593  0.69965989 -0.15509344 -0.17843594 -0.22454941 -0.12218078
  0.22173813]"
OG0001506	1.1278672494765	1.27849494643085	1.12325780323916	1.4241409317768	0.733796530301578	1.35660005444896	0.474380413580419	0.445355015261301	0.630640071789303	0.661366550175708	1.04913624962559	0.712518177458481	0.311726776056383	22.33234645461779	"[ 0.25638411  0.40701181  0.25177467  0.5526578  -0.13768661  0.48511692
 -0.39710272 -0.42612812 -0.24084306 -0.21011659  0.17765311 -0.15896496
 -0.55975636]"
OG0001507	0.263787698098452	0.353034813259545	0.746955857022805	0.226389156073528	0.242458375036171	0.160923310165805	0.203238798185295	0.375760136287911	0.121031445147836	0.203691671930853	0.190883847337685	0.271800322066728	0.248865544804168	28.574325616580175	"[-0.01381392  0.0754332   0.46935424 -0.05121246 -0.03514324 -0.1166783
 -0.07436282  0.09815852 -0.15657017 -0.07390994 -0.08671777 -0.00580129
 -0.02873607]"
OG0001508	0.610512539973023	0.945722739332441	0.198571249719256	0.478344450239486	0.431252531720686	0.903170098694958	0.615494819796724	0.326799138018858	0.443724387699758	0.43625988735453	0.42386388717835	0.471760850881728	0.556793934977296	20.822018093915094	"[ 0.08418404  0.41939424 -0.32775725 -0.04798405 -0.09507597  0.3768416
  0.08916632 -0.19952936 -0.08260411 -0.09006861 -0.10246461 -0.05456765
  0.03046543]"
OG0001509	0.758978547018203	0.764795503857052	1.20097104046843	0.571290515756094	0.76171555594261	0.613123377627137	0.891798178066677	1.30451940267005	0.566582559571471	0.541684577844483	0.84620954362928	0.687500940298318	0.409953983775079	17.859127552648353	"[-0.00403097  0.00178599  0.43796152 -0.191719   -0.00129396 -0.14988614
  0.12878866  0.54150989 -0.19642696 -0.22132494  0.08320003 -0.07550858
 -0.35305553]"
OG0001510	0.0051720517216884	0.142665991019708	0.0035227509120535	0.0015175347179646	0.0230753683155914	0.0147215430496967	0.0315604483068154	0.0007172254973587	0.0029469267171588	0.0036007093130214	0.004236655068371	0.0066767873877245	1.21869357668755	70.75510714887552	"[-0.10706699  0.03042695 -0.10871629 -0.11072151 -0.08916368 -0.0975175
 -0.0806786  -0.11152182 -0.10929212 -0.10863833 -0.10800239 -0.10556226
  1.10645453]"
OG0001511	0.146141188408518	0.0459100727063179	0.50636076122231	0.147068462736305	0.312108319379655	0.162338259365433	0.201984298818607	0.462938522793398	0.301611926102452	0.289011425392706	0.137945362090139	0.142468067815733	0.74806359394109	34.003594903818126	"[-0.13108575 -0.23131687  0.22913382 -0.13015848  0.03488138 -0.11488868
 -0.07524264  0.18571158  0.02438498  0.01178448 -0.13928158 -0.13475888
  0.47083665]"
OG0001512	0.771963674497546	0.469145698644283	0.928777062197354	0.494212451421613	0.583033461602945	0.189290902500408	0.423174540890057	0.396566066429871	0.469311861860851	0.661945657003963	0.455991375683681	0.846825530895306	0.0668199384748339	24.221430590479898	"[ 0.25218997 -0.05062801  0.40900335 -0.02556126  0.06325975 -0.33048281
 -0.09659917 -0.12320764 -0.05046185  0.14217195 -0.06378233  0.32705182
 -0.45295377]"
OG0001513	1.16680384130737	1.27052427092828	0.769105306781577	1.1183405248924	1.03213436254338	0.985523538561234	0.986700442376253	1.20840733593761	1.08476590331751	0.79510465767528	1.28635047768281	1.13257692436047	0.363003238564568	13.43396686650231	"[ 0.15146993  0.25519036 -0.2462286   0.10300662  0.01680045 -0.02981037
 -0.02863347  0.19307343  0.06943199 -0.22022925  0.27101657  0.11724301
 -0.65233067]"
OG0001514	0.456689328294447	0.0714954851912668	1.51936761896678	0.223996628765472	0.179793803168174	0.0842599373685565	0.202332846765258	0.157575834588141	0.0932854358174815	0.133534831714295	0.12466444940615	0.360768753631178	0.0032282893599172	53.610768304128406	"[ 0.17892062 -0.20627323  1.24159891 -0.05377208 -0.09797491 -0.19350877
 -0.07543586 -0.12019288 -0.18448328 -0.14423388 -0.15310426  0.08300004
 -0.27454042]"
OG0001515	1.21624593819056	0.958772215726609	0.62108412123564	1.07817194391202	0.862690953712762	1.05696440077918	1.10782290635335	0.83316971538889	0.965821428596391	0.765156590315633	0.847370864501743	0.834912690258763	0.523108515500626	11.811032950754099	"[ 0.31845422  0.0609805  -0.27670759  0.18038023 -0.03510076  0.15917269
  0.21003119 -0.064622    0.06802971 -0.13263512 -0.05042085 -0.06287902
 -0.3746832 ]"
OG0001516	0.59603426409688	0.784420836286614	0.755819796086058	0.53268314506146	0.798258022032444	0.515325477582358	0.554676375718568	0.569830209700925	0.670426597272362	0.73224061102845	0.768372110034377	0.734621780279725	0.0165832077502613	17.90274527327926	"[-0.02160362  0.16678296  0.13818192 -0.08495473  0.18062014 -0.1023124
 -0.0629615  -0.04780767  0.05278872  0.11460273  0.15073423  0.1169839
 -0.60105467]"
OG0001517	0.794701156288714	0.449140848924625	0.124857017900315	0.634364656038541	0.895986888047364	0.64182491142163	0.970245891745858	0.169070198096935	0.464689577466904	0.521781544669833	0.355557454574546	0.44188528353319	1.13854607152172	26.403639206946345	"[ 0.20988181 -0.1356785  -0.45996233  0.04954531  0.31116754  0.05700557
  0.38542655 -0.41574915 -0.12012977 -0.0630378  -0.22926189 -0.14293406
  0.55372673]"
OG0001518	0.449609945828456	0.355255793471701	0.529139603191207	0.380811028755729	0.503055117593913	0.45928447245913	0.742389281019296	0.41235518535452	0.412641802993034	0.333930558754893	0.511884399385117	0.85203677400355	0.447187005897464	16.277983382110072	"[-0.04189628 -0.13625043  0.03763337 -0.1106952   0.01154889 -0.03222176
  0.25088305 -0.07915104 -0.07886443 -0.15757567  0.02037817  0.36053055
 -0.04431922]"
